Date ,DAY,MONTH,QUARTER,YEAR,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME,No of Trades
09-Aug-24,Friday,August,Q3,2024,EQ,3209,3219.3,3171.05,3167.55,3186.5,3187.55,3193.28,3743.9,2142,760165,43358
08-Aug-24,Thursday,August,Q3,2024,EQ,3190.55,3242.65,3156.55,3185.95,3172.55,3167.55,3194.74,3743.9,2142,2139376,107274
07-Aug-24,Wednesday,August,Q3,2024,EQ,3118,3190,3112,3072.7,3186.45,3185.95,3163.01,3743.9,2142,1868169,74727
06-Aug-24,Tuesday,August,Q3,2024,EQ,3084,3142.8,3057.25,3038.2,3078.25,3072.7,3108,3743.9,2142,2125201,124189
05-Aug-24,Monday,August,Q3,2024,EQ,3085,3133.05,2996.3,3160.9,3024,3038.2,3062.45,3743.9,2142,2238921,139819
02-Aug-24,Friday,August,Q3,2024,EQ,3200,3215,3111,3217.25,3161.4,3160.9,3174.06,3743.9,2142,3360209,149926
01-Aug-24,Thursday,August,Q3,2024,EQ,3180,3258,3151.7,3169.4,3225.1,3217.25,3212.46,3743.9,2142,6149883,234840
31-Jul-24,Wednesday,July,Q3,2024,EQ,3141,3197.5,3135,3128.75,3168,3169.4,3171.25,3743.9,2142,2414005,113298
30-Jul-24,Tuesday,July,Q3,2024,EQ,3092,3155,3066.65,3089.35,3133,3128.75,3120.89,3743.9,2142,1647048,98232
29-Jul-24,Monday,July,Q3,2024,EQ,3094.3,3120.35,3074,3080.5,3088.4,3089.35,3097.85,3743.9,2142,1037474,68832
26-Jul-24,Friday,July,Q3,2024,EQ,2995,3109,2988.1,2973.5,3072.25,3080.5,3066.52,3743.9,2142,1942427,111808
25-Jul-24,Thursday,July,Q3,2024,EQ,2960.7,3017.65,2945.1,2970.7,2995,2973.5,2980.02,3743.9,2142,1105721,75405
24-Jul-24,Wednesday,July,Q3,2024,EQ,2995.35,3007.5,2959.3,2995.35,2968.8,2970.7,2980.98,3743.9,2142,693702,54185
23-Jul-24,Tuesday,July,Q3,2024,EQ,3020,3038,2886.35,3000.85,2999.4,2995.35,2989.95,3743.9,2142,1443331,103491
22-Jul-24,Monday,July,Q3,2024,EQ,3005.7,3026.9,2972.15,3005.7,3000,3000.85,3002.66,3743.9,2142,662085,50675
19-Jul-24,Friday,July,Q3,2024,EQ,3092,3094.5,3000,3092.2,3007.95,3005.7,3033.24,3743.9,2142,1026941,68966
18-Jul-24,Thursday,July,Q3,2024,EQ,3106,3111,3057.15,3109.3,3090,3092.2,3083.68,3743.9,2142,1021653,80772
16-Jul-24,Tuesday,July,Q3,2024,EQ,3110,3137.75,3096.1,3090.4,3106.5,3109.3,3115.88,3743.9,2142,988357,60074
15-Jul-24,Monday,July,Q3,2024,EQ,3066.1,3103.5,3058.35,3065.45,3091,3090.4,3081.16,3743.9,2142,724174,44784
12-Jul-24,Friday,July,Q3,2024,EQ,3090,3098.8,3058.35,3078.3,3066,3065.45,3075.05,3743.9,2142,756036,51794
11-Jul-24,Thursday,July,Q3,2024,EQ,3118.7,3129.8,3074.1,3096,3087,3078.3,3097.76,3743.9,2142,899781,85332
10-Jul-24,Wednesday,July,Q3,2024,EQ,3120.1,3127.25,3063.4,3110.75,3093.9,3096,3097.88,3743.9,2142,586710,44240
